Anio;Trimestre;Ingresos Internet (miles de pesos);Ingresos telefonos moviles (miles de pesos);Ingresos TV por suscripcion;Ingresos TV satelital; Periodo ;;;;;
2023;4;167376015;515335794;133582201;64748819; Octubre - Diciembre ;;;;;
2023;3;133106593;380119973;103738033;51179480; Julio - Septiembre ;;;;;
2023;2;118060280;307337085;87015369;38625146; Abril - Junio ;;;;;
2023;1;104134993;257558366;74739351;33430741; Enero - Marzo ;;;;;
2022;4;72443483;216233244;62432903;29721127; Octubre - Diciembre ;;;;;
2022;3;64086784;180356862;52399891;27073191; Julio - Septiembre ;;;;;
2022;2;60419501;153032313;46322065;23559485; Abril - Junio ;;;;;
2022;1;55219313;130454676;42113439;21268086; Enero - Marzo ;;;;;
2021;4;45467887;127389786;38273392;18038065; Octubre - Diciembre ;;;;;
2021;3;42999944;117751925;36398026;18039520; Julio - Septiembre ;;;;;
2021;2;38239667;104782020;33674996;18038442; Abril - Junio ;;;;;
2021;1;36676371;93112153;31924515;18038361; Enero - Marzo ;;;;;
2020;4;33539703;83479114;26324099;14479623; Octubre - Diciembre ;;;;;
2020;3;31997445;79634755;25386155;12933200; Julio - Septiembre ;;;;;
2020;2;32102476;73538944;24620009;12544726; Abril - Junio ;;;;;
2020;1;29946216;72077147;25147466;12352764; Enero - Marzo ;;;;;
2019;4;24169251;65388842;22785447;12150589; Octubre - Diciembre ;;;;;
2019;3;21652748;60905891;20284731;10896198; Julio - Septiembre ;;;;;
2019;2;20743118;55338816;18392209;9937613; Abril - Junio ;;;;;
2019;1;20207414;50246691;17479492;8816484; Enero - Marzo ;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
