Anio;Trimestre;Numero_SMS_salientes;Llamadas_Salientes;Minutos_Salientes(miles);Accesos_Operativos;Periodo
2019;1;2979265948;7560513;20364355;58606442; Enero - Marzo 
2019;2;2827445823;7713769;20160651;57596091; Abril - Junio 
2019;3;2949922014;7254864;20264083;56275726; Julio - Septiembre 
2019;4;2175994230;7601121;18396067;55930914; Octubre - Diciembre 
2020;1;1957599508;6583591;19976514;55612810; Enero - Marzo 
2020;2;1941261096;6035390;20533456;26568846; Abril - Junio 
2020;3;1887885018;6256823;20232724;54619886; Julio - Septiembre 
2020;4;1162624348;6007148;20190160;54763900; Octubre - Diciembre 
2021;1;1061013967;5585383;18461947;56453033; Enero - Marzo 
2021;2;748701689;5427526;19224021;56875562; Abril - Junio 
2021;3;1109243724;5560488;18592757;57812509; Julio - Septiembre 
2021;4;929840583;5935852;18400182;59065827; Octubre - Diciembre 
2022;1;909954575;5339206;15949027;59168910; Enero - Marzo 
2022;2;789033575;5474625;16212719;59111192; Abril - Junio 
2022;3;803389256;5443742;16426994;59258871; Julio - Septiembre 
2022;4;773515610;4898125;15611632;59703927; Octubre - Diciembre 
2023;1;681860978;4275360;14450805;60297923; Enero - Marzo 
2023;2;643316293;4324706;14071063;60883024; Abril - Junio 
2023;3;649739526;4194639;13994795;61184308; Julio - Septiembre 
2023;4;602273859;4583177;13821099;62709150; Octubre - Diciembre 
