Anio;Trimestre;Telefonia_Movial_(Accesos_100_hab);Periodo
2013;1;154; Enero - Marzo 
2013;2;156; Abril - Junio 
2013;3;159; Julio - Septiembre 
2013;4;159; Octubre - Diciembre 
2014;1;148; Enero - Marzo 
2014;2;143; Abril - Junio 
2014;3;143; Julio - Septiembre 
2014;4;143; Octubre - Diciembre 
2015;1;140; Enero - Marzo 
2015;2;139; Abril - Junio 
2015;3;141; Julio - Septiembre 
2015;4;143; Octubre - Diciembre 
2016;1;142; Enero - Marzo 
2016;2;143; Abril - Junio 
2016;3;146; Julio - Septiembre 
2016;4;146; Octubre - Diciembre 
2017;1;144; Enero - Marzo 
2017;2;143; Abril - Junio 
2017;3;141; Julio - Septiembre 
2017;4;140; Octubre - Diciembre 
2018;1;137; Enero - Marzo 
2018;2;134; Abril - Junio 
2018;3;132; Julio - Septiembre 
2018;4;131; Octubre - Diciembre 
2019;1;131; Enero - Marzo 
2019;2;129; Abril - Junio 
2019;3;129; Julio - Septiembre 
2019;4;125; Octubre - Diciembre 
2020;1;124; Enero - Marzo 
2020;2;122; Abril - Junio 
2020;3;120; Julio - Septiembre 
2020;4;120; Octubre - Diciembre 
2021;1;124; Enero - Marzo 
2021;2;124; Abril - Junio 
2021;3;126; Julio - Septiembre 
2021;4;128; Octubre - Diciembre 
2022;1;128; Enero - Marzo 
2022;2;128; Abril - Junio 
2022;3;128; Julio - Septiembre 
2022;4;129; Octubre - Diciembre 
2023;1;130; Enero - Marzo 
2023;2;131; Abril - Junio 
2023;3;131; Julio - Septiembre 
2023;4;134; Octubre - Diciembre 
