ID;PROVINCIAS;POBLACION;HOGARES;ACCESOS;Penetracion_cada_100_hab;Penetracion_cada_100_hogares
1;Buenos Aires;14911542;5970702;5011620;27,68;80,96
2;Capital Federal;2890151;1391258;1474367;47,8;117,02
3;Catamarca;343343;131978;74587;17,46;68,63
4;Chaco;927414;368728;147386;11,85;44,35
5;Chubut;490554;213317;170170;26,04;84,96
6;Cordoba;3139606;1378237;1079302;27,76;90,67
7;Corrientes;857994;370958;159472;13,84;52,56
8;Entre Rios;1119919;494473;298637;20,91;69,94
9;Formosa;452714;194689;62002;9,98;39,23
10;Jujuy;628141;238141;118020;14,77;57,78
12;La Pampa;302570;140879;121326;32,93;99,96
13;La Rioja;319248;124149;87721;21,35;80,22
14;Mendoza;1654993;639467;299351;14,55;52,15
15;Misiones;836097;420101;200333;15,33;56,27
16;Neuquin;522527;254545;164627;23,78;79,91
17;Rio Negro;596964;276371;168417;21,61;70,26
18;Salta;1117163;404504;204732;13,8;56,98
19;San Juan;631000;241436;103210;12,75;50,08
20;San Luis;410669;182886;154685;29,21;102,07
21;Santa Cruz;268436;118047;87031;21,94;73,75
22;Santa Fe;3055611;1273460;909501;25,08;79,75
23;Santiago Del Estero;671932;311361;123230;12,18;49,08
24;Tierra Del Fuego;125823;65535;61599;32,75;110,49
25;Tucuman;1210114;493794;266335;15,12;61,04
